title,duration,day_week_n,week,module,is_pro,is_ignored
Lunch,45,4,6,Databases,,TRUE
"Explore Cloud Job Postings
discussion",45,4,6,Databases,Professional Skills,FALSE
Introduction to Databases,40,4,6,Databases,,FALSE
Break,15,4,6,Databases,,TRUE
"Activity : Introduction to Databases
and Knowledge Check",55,4,6,Databases,,FALSE
Exit Ticket,20,4,6,Databases,,TRUE
Flex Time,15,4,6,Databases,,TRUE
Recap,20,5,6,Databases,,TRUE
"Data Interaction and Database
Transaction and Knowledge Check",65,5,6,Databases,,FALSE
"Creating Tables and Learning
Different Data Types",90,5,6,Databases,,FALSE
Break,15,5,6,Databases,,TRUE
"Activity : Creating tables and data
types",30,5,6,Databases,,FALSE
Lunch,45,5,6,Databases,,TRUE
"Lab : Database table operations and
Knowledge Check",45,5,6,Databases,,FALSE
Break,15,5,6,Databases,,TRUE
Interview Practice,45,5,6,Databases,,FALSE
Inserting Data into a Database,55,5,6,Databases,,FALSE
Exit Ticket,20,5,6,Databases,,TRUE
Flex Time,5,5,6,Databases,,TRUE
Recap,20,1,7,Databases,,TRUE
Lab: Inserting Data and Knowledge Check,40,,7,Databases,,FALSE
Selecting Data,55,,7,Databases,,FALSE
Break,15,,7,Databases,,TRUE
Lab: Selecting data from a database and Knowledge Check,60,,7,Databases,,FALSE
Resume Creation (Lecture),35,,7,Databases,,FALSE
Lunch,45,,7,Databases,,TRUE
Work on Resume,45,,7,Databases,,FALSE
Break,15,,7,Databases,,TRUE
Performing a Conditional Search,90,,7,Databases,,FALSE
Exit Ticket,20,,7,Databases,,TRUE
Flex Time,10,,7,Databases,,TRUE
Recap,20,,7,Databases,,TRUE
Activities and Lab: Performing a Conditional Search and Knowledge Check,100,,7,Databases,,FALSE
Break,15,,7,Databases,,TRUE
Working with Functions,55,,7,Databases,,FALSE
Lunch,45,,7,Databases,,TRUE
Lab: Working with functions and Knowledge Check,60,,7,Databases,,FALSE
Organizing Data,55,,7,Databases,,FALSE
Break,15,,7,Databases,,TRUE
Lab: Organizing Data and Knowledge Check,60,,7,Databases,,FALSE
Exit Ticket,20,,7,Databases,,TRUE
Flex Time,5,,7,Databases,,TRUE
Recap,20,,7,Databases,,TRUE
Retrieving Data,45,,7,Databases,,FALSE
Lab: Build your DB server and Knowledge Check,60,,7,Databases,,FALSE
Break,15,,7,Databases,,TRUE
Amazon RDS and Demonstration,60,,7,Databases,,FALSE
Lunch,45,,7,Databases,,TRUE
Lab: Introduction to Amazon Aurora and Knowledge Check,55,,7,Databases,,FALSE
Amazon DynamoDB and Demonstration,60,,7,Databases,,FALSE
Break,15,,7,Databases,,TRUE
Lab: Introduction to Amazon DynamoDB and Knowledge Check,50,,7,Databases,,FALSE
Exit Ticket,20,,7,Databases,,TRUE
Flex Time,5,,7,Databases,,TRUE
Recap,20,4,7,Databases,,TRUE
Fact finding exercise: Databases and Review,60,4,7,Databases,,FALSE
Challenge lab: Build and Access an RDS Server,45,4,7,Databases,,FALSE
Break,15,4,7,Databases,,TRUE
Review Databases,30,4,7,Databases,,FALSE
Lunch,45,4,7,Professional Skills,,TRUE
Work on Resume,45,4,7,Professional Skills,Professional Skills,FALSE
Break,15,4,7,Professional Skills,,TRUE
Networking (soft skills),95,4,7,Professional Skills,Professional Skills,FALSE
Exit Ticket,20,4,7,Professional Skills,,TRUE
Flex Time,60,4,7,Professional Skills,,TRUE
Recap,20,5,7,Professional Skills,,TRUE
Networking (soft skills) Continued,100,5,7,Professional Skills,Professional Skills,FALSE
Break,15,5,7,Professional Skills,,TRUE
Interview Practice,45,5,7,Professional Skills,Professional Skills,FALSE
Lunch,45,5,7,Professional Skills,,TRUE
Networking Event,160,5,7,Professional Skills,Professional Skills,FALSE
Exit Ticket,20,5,7,Professional Skills,,TRUE
Flex Time,25,5,7,Professional Skills,,TRUE
Recap,20,1,8,Professional Skills,,TRUE
Technical thought process,160,1,8,Professional Skills,Professional Skills,FALSE
Break,15,1,8,Professional Skills,,TRUE
AWS Architecture Overview,10,1,8,AWS Architecture,,FALSE
AWS Cloud Adoption Framework,25,1,8,AWS Architecture,,FALSE
Lunch,45,1,8,AWS Architecture,,TRUE
AWS Well-Architected Framework,30,1,8,AWS Architecture,,FALSE
Well-Architected Principles,20,1,8,AWS Architecture,,FALSE
Break,15,1,8,AWS Architecture,,TRUE
Reliability and High Availability,20,1,8,AWS Architecture,,FALSE
Transitioning a Data Center to the Cloud,30,1,8,AWS Architecture,,FALSE
Exit Ticket,20,1,8,AWS Architecture,,TRUE
Flex Time,15,1,8,AWS Architecture,,TRUE
Recap,20,2,8,AWS Architecture,,TRUE
Fact Finding exercise : Well-Architected Framework,60,2,8,AWS Architecture,,FALSE
Break,15,2,8,AWS Architecture,,TRUE
Well-Architected Knowledge Check and Review,30,2,8,AWS Architecture,,FALSE
Work on Resume,45,2,8,Professional Skills,Professional Skills,FALSE
Lunch,45,2,8,Professional Skills,,TRUE
Teamwork and Collaboration,45,2,8,Professional Skills,Professional Skills,FALSE
Break,15,2,8,Professional Skills,,TRUE
Teamwork and Collaboration (Continued),140,2,8,Professional Skills,Professional Skills,FALSE
Exit Ticket,20,2,8,Professional Skills,,TRUE
Flex Time,15,2,8,Professional Skills,,TRUE
Recap,20,3,8,Professional Skills,,TRUE
Teamwork and Collaboration (Continued),60,3,8,Professional Skills,Professional Skills,FALSE
Break,15,3,8,Professional Skills,,TRUE
